trade_date,open,high,low,close
20230816,3830.8274,3852.4198,3817.6324,3818.3338
20230817,3801.1969,3836.1507,3782.4967,3831.1008
20230818,3832.4554,3844.195,3784.0038,3784.0038
20230821,3773.225,3782.1112,3729.555,3729.555
20230822,3748.0675,3770.0556,3704.6785,3758.2271
20230823,3751.7736,3756.1659,3695.0309,3696.6339
20230824,3711.5403,3748.8567,3701.5717,3723.4293
20230825,3703.5136,3734.2185,3695.8442,3709.1517
20230828,3911.5485,3911.5485,3740.5279,3752.6194
20230829,3743.0534,3810.3772,3742.0758,3790.1067
20230830,3803.1191,3813.7032,3780.2411,3788.5097
20230831,3786.9261,3793.9972,3762.0046,3765.2678
20230901,3778.9129,3808.5306,3778.9129,3791.4912
20230904,3812.9873,3854.2605,3804.5886,3848.9517
20230905,3839.5779,3839.5779,3814.3338,3820.3174
20230906,3808.1,3817.5239,3790.8949,3812.0283
20230907,3802.2272,3802.2272,3756.853,3758.4748
20230908,3747.6509,3753.263,3724.987,3739.9927
20230911,3740.5846,3788.3219,3734.7228,3767.537
20230912,3764.3331,3775.093,3755.4162,3760.6048
20230913,3759.6091,3768.8162,3719.1114,3736.6513
20230914,3736.9355,3748.8177,3717.3107,3733.5077
20230915,3740.7853,3749.0247,3699.3806,3708.7766
20230918,3698.9344,3737.5306,3691.1107,3727.711
20230919,3723.4244,3724.0717,3702.6934,3720.5021
20230920,3715.9578,3718.5207,3705.1274,3705.6898
20230921,3698.313,3708.4557,3672.4448,3672.4448
20230922,3672.6402,3740.4183,3664.7661,3738.9327
20230925,3738.0622,3738.0622,3711.2049,3714.6037
20230926,3711.7106,3723.8481,3692.6172,3692.8928
20230927,3694.9607,3731.1405,3694.3938,3700.495
20230928,3711.2117,3716.0569,3685.3001,3689.5172
20231009,3678.929,3694.1713,3641.9966,3684.7272
20231010,3696.2542,3701.2562,3655.589,3657.1259
20231011,3674.7514,3689.5347,3658.355,3667.5483
20231012,3697.9337,3711.4985,3682.8418,3702.3824
20231013,3677.9585,3678.1913,3652.3094,3663.4104
20231016,3664.039,3664.039,3615.7686,3626.5972
20231017,3635.2994,3645.5654,3619.1277,3639.4018
20231018,3631.0671,3632.0579,3608.9768,3610.5767
20231019,3588.5154,3588.5154,3532.3059,3533.5445
20231020,3518.3464,3535.6623,3501.725,3510.5889
20231023,3500.199,3505.3468,3450.6456,3474.2438
20231024,3481.7644,3495.0039,3453.1016,3487.1302
20231025,3524.2965,3531.8314,3500.9154,3504.4576
20231026,3484.7807,3515.5716,3478.0503,3514.1448
20231027,3501.171,3576.5861,3494.5488,3562.3851
20231030,3554.1055,3592.7188,3554.0238,3583.7718
20231031,3581.6759,3581.6759,3554.5822,3572.5056
20231101,3605.7576,3606.4126,3564.6421,3571.0268
20231102,3580.0672,3597.1699,3553.7406,3554.1889
20231103,3558.5303,3596.101,3558.5303,3584.1364
20231106,3608.3187,3635.7897,3600.6304,3632.6084
20231107,3623.7849,3628.4615,3606.2975,3619.7593
20231108,3610.6434,3627.0479,3591.8248,3611.0723
20231109,3603.1082,3624.4141,3601.3744,3612.8263
20231110,3596.0688,3599.4519,3576.1011,3586.4893
20231113,3593.9109,3599.3897,3562.7682,3579.4141
20231114,3581.1034,3600.1483,3568.882,3582.0584
20231115,3616.8765,3620.6007,3596.9158,3607.2454
20231116,3600.9813,3605.2898,3572.3636,3572.3641
20231117,3561.3112,3573.6819,3547.0287,3568.0685
20231120,3569.7314,3586.9731,3545.1038,3576.3233
20231121,3587.8779,3615.0569,3575.682,3581.0674
20231122,3569.4389,3574.3782,3544.4162,3544.4162
20231123,3541.4416,3562.0675,3529.939,3561.5204
20231124,3560.6462,3560.6462,3533.9955,3538.0087
20231127,3534.4445,3534.4445,3492.8623,3511.9424
20231128,3510.6554,3521.0463,3501.1093,3518.5232
20231129,3518.8836,3519.198,3482.2444,3488.3073
20231130,3485.5171,3505.1273,3481.4515,3496.2028
20231201,3494.2234,3494.2234,3452.1728,3482.8813
20231204,3481.0449,3488.133,3459.611,3460.138
20231205,3450.0898,3450.0898,3393.8139,3394.2571
20231206,3387.8798,3420.2773,3382.9457,3399.598
